Claim ID,Date of Claim,Claim Amount,Claim Status,Reason for Claim,Settlement Date,Policy ID
CLM23673303,09-01-2020,22275,Pending,Send ok soldier end.,12-03-2020,POL81591533
CLM98491523,10-01-2024,77913,Approved,Month station thing police level.,27-01-2024,POL01681251
CLM20286630,14-03-2021,39165,Denied,According plan week peace officer particularly.,,POL13181377
CLM66676001,30-11-2021,90112,Approved,Anyone national speak protect professor process station.,04-01-2022,POL43969785
CLM16206090,02-08-2020,18632,Denied,Indeed particular keep feeling allow individual.,,POL34180846
CLM93705007,25-07-2023,35200,Approved,Again evidence yourself somebody light already.,13-09-2023,POL21441518
CLM86984670,14-11-2021,31749,Denied,Eat among change goal.,24-11-2021,POL64544270
CLM90814794,08-03-2024,7435,Denied,Great near boy success.,08-05-2024,POL54561530
CLM55030421,27-11-2023,76501,Pending,Education themselves see letter remember unit director.,07-02-2024,POL95768809
CLM38868037,05-09-2020,90208,Pending,American material style through evidence southern deep.,,POL96685286
CLM09669839,14-01-2021,84492,Denied,Sign human long air already federal peace art.,05-04-2021,POL82401042
CLM18327776,04-01-2020,51746,Approved,Find where back sea program fear.,26-01-2020,POL03461173
CLM60097748,05-11-2021,21838,Pending,Deal service agent already improve style.,16-01-2022,POL59179996
CLM57112717,02-11-2021,28629,Approved,Two second say if tough voice.,,POL23145476
CLM65938667,02-08-2023,80531,Denied,Movie so writer price rise tell old.,14-08-2023,POL82016751
CLM14071810,18-09-2022,73972,Pending,Head mission number natural model.,30-11-2022,POL09137788
CLM56509285,13-11-2022,53398,Pending,Crime speak fill step.,12-12-2022,POL70419372
CLM11001484,29-03-2021,62327,Denied,Group top woman everyone quickly question majority.,,POL90801398
CLM65918046,27-09-2020,30879,Pending,Doctor especially today value become term identify.,,POL82791377
CLM81536271,07-09-2022,18231,Pending,Year else front than choice.,28-10-2022,POL15877374
CLM14776484,03-06-2023,33327,Approved,Why alone its open upon.,,POL59779212
CLM33580673,30-04-2023,89459,Denied,Both series shoulder specific offer language traditional.,,POL07342539
CLM37236202,15-08-2024,10248,Denied,Staff next movie page drop.,27-09-2024,POL41037493
CLM51134239,10-04-2023,86284,Pending,Fast team dark century strategy hit.,31-05-2023,POL82137065
CLM36331542,01-12-2024,47685,Pending,Seek send believe western chair usually.,,POL90934498
CLM68935390,07-07-2021,4745,Approved,Gas black evidence.,,POL83133699
CLM05192558,13-02-2023,64302,Approved,Own would fire.,,POL01761052
CLM34252551,18-10-2020,48742,Approved,Give computer keep form research despite.,,POL08643765
CLM82206005,08-08-2021,48335,Pending,Adult conference safe poor its industry coach.,,POL25617891
CLM25855066,04-09-2021,78981,Pending,Economy whose same miss national.,27-10-2021,POL08689656
CLM66661573,27-11-2022,85396,Denied,Simply charge partner poor with.,15-02-2023,POL64120254
CLM79682557,27-06-2022,91925,Denied,Often bring five.,30-08-2022,POL45114954
CLM70589989,20-03-2022,38297,Approved,Wonder piece wait look true no remember if.,15-06-2022,POL63517748
CLM31815501,17-04-2022,66148,Pending,Several produce class customer alone.,06-07-2022,POL91259489
CLM63185712,03-12-2021,12659,Approved,Former table finish boy single practice.,25-01-2022,POL39463277
CLM23146150,23-12-2023,65025,Pending,Education shoulder hand father production order choice.,19-01-2024,POL75706298
CLM01553708,27-06-2024,66661,Approved,Sound be certainly fly picture space.,22-07-2024,POL33049382
CLM66074257,10-12-2024,7273,Denied,Sound that operation avoid morning their.,,POL63440106
CLM50724959,11-08-2024,4529,Denied,Simple other role not.,09-11-2024,POL59354713
CLM33888157,09-12-2020,54069,Pending,Response it six realize doctor.,,POL77625425
CLM51474654,19-04-2023,10870,Pending,Staff carry address.,07-06-2023,POL18831547
CLM93171228,27-10-2024,67443,Approved,Theory window see soon.,03-12-2024,POL24534591
CLM43392789,11-02-2020,4636,Denied,Natural tell whole scientist why weight receive.,10-03-2020,POL54483538
CLM88894585,23-10-2020,11566,Approved,One foreign space whether mother.,20-12-2020,POL55300155
CLM07858710,11-03-2024,23913,Denied,Kitchen talk throw.,30-03-2024,POL82812319
CLM97170433,31-07-2021,23354,Approved,Prevent we project hit oil church.,21-08-2021,POL33244868
CLM31270051,23-05-2022,94795,Approved,Name any option into western final.,02-07-2022,POL74496346
CLM82267397,14-03-2021,11923,Pending,Push finally hair.,29-03-2021,POL18917162
CLM25622565,24-01-2024,20013,Denied,Would level despite imagine.,09-04-2024,POL98789630
CLM64484686,22-05-2023,6157,Approved,Our full outside policy.,09-08-2023,POL47427298
CLM38705286,05-02-2021,63821,Denied,Camera start really benefit risk security article.,,POL76589663
CLM23146923,20-07-2023,19885,Approved,Top center exist action.,,POL12935594
CLM24301039,04-11-2020,47975,Denied,While character eat expect.,,POL55835566
CLM15657898,25-04-2022,98275,Denied,Act others many weight.,09-06-2022,POL91241306
CLM64734849,27-12-2022,7732,Approved,South detail energy somebody coach.,,POL10073827
CLM93105620,03-01-2021,25294,Denied,Event fund less country special.,19-01-2021,POL43123760
CLM64154491,29-04-2020,4473,Pending,These series movement international toward change movie yard.,27-05-2020,POL45095642
CLM33798304,17-09-2023,28593,Denied,Newspaper season me.,09-10-2023,POL81122472
CLM14944933,14-09-2020,96104,Pending,Instead hit field manager difference face will.,,POL95405693
CLM95099823,02-08-2020,65503,Pending,Him book heart still.,,POL20670070
CLM39666392,10-10-2021,65199,Pending,Ball not yet get apply.,26-10-2021,POL84424949
CLM25529207,06-10-2021,80432,Denied,Imagine seat friend office it.,27-11-2021,POL56083774
CLM45018730,18-03-2021,92471,Approved,Rule memory around international building national.,28-04-2021,POL50239325
CLM16989357,03-07-2020,62441,Pending,Able attention our change section rock usually already.,,POL66167857
CLM73336882,13-07-2024,84687,Approved,Possible water guess million.,,POL44119689
CLM98110295,14-01-2021,44110,Denied,Community dog join brother.,19-03-2021,POL91286503
CLM49151950,11-01-2024,42149,Denied,Measure partner professor real trouble enter western president.,,POL83969664
CLM62334592,03-08-2022,8683,Denied,Expert near owner.,,POL76937321
CLM80481592,24-02-2023,48644,Approved,Hear rock only lot government.,,POL67864663
CLM18445476,09-11-2024,40588,Approved,Discussion up power almost number stock.,15-01-2025,POL46902142
CLM97556463,06-03-2022,15742,Denied,Camera son book station.,23-05-2022,POL07053909
CLM19729557,23-07-2023,64025,Approved,Now happen head church card knowledge information bill.,,POL13345815
CLM84451676,23-09-2023,68238,Pending,Recent lay cover piece.,13-10-2023,POL28741464
CLM84128413,15-03-2022,55285,Approved,Mrs wide team successful nor southern point.,20-04-2022,POL44119689
CLM06827999,06-03-2023,6445,Denied,Something than financial story hand school sense.,27-04-2023,POL26162057
CLM14476789,21-08-2024,23812,Pending,When arrive most number southern blue.,,POL82697180
CLM87197887,04-06-2021,40772,Denied,Pretty east way year.,,POL83865881
CLM08548633,16-10-2023,4853,Denied,Air action student interest sport purpose nice.,16-11-2023,POL47222103
CLM84184946,12-01-2021,16314,Pending,Draw man everything.,14-02-2021,POL08713900
CLM14231438,24-05-2020,46423,Approved,Himself whose news above.,17-06-2020,POL25794151
CLM99725726,16-01-2021,69020,Approved,Paper only approach interest spring floor.,16-04-2021,POL55324239
CLM18817051,28-11-2022,68606,Approved,Newspaper result resource serve contain.,09-01-2023,POL83258516
CLM35350732,07-08-2020,3221,Approved,Almost sometimes front charge.,03-09-2020,POL47598430
CLM53033405,16-11-2021,1019,Pending,White cup question degree glass.,,POL84868487
CLM96823987,19-08-2020,6123,Denied,Wear kid economic attorney fear because.,01-10-2020,POL32483993
CLM54164215,29-10-2024,24621,Approved,Blue third head full agency.,04-01-2025,POL56971563
CLM00908849,07-08-2024,61276,Denied,Opportunity treatment record trip.,,POL35996382
CLM26400767,05-12-2022,34209,Approved,Glass southern number include.,09-01-2023,POL15506424
CLM69965519,16-09-2023,37082,Approved,Development get process key ago.,18-11-2023,POL00464071
CLM94436319,29-04-2024,12128,Approved,Really for bank large season pull everyone.,,POL69091266
CLM01927554,09-11-2024,40649,Denied,Something rule want piece leader try.,04-02-2025,POL06557000
CLM77659439,19-01-2023,22381,Approved,Nearly seat social significant cultural president.,15-02-2023,POL24718635
CLM04866071,06-01-2022,75236,Approved,Quality management decision focus remain.,,POL22280600
CLM66373910,30-05-2021,45616,Pending,Something collection staff.,19-08-2021,POL66670427
CLM24028490,09-09-2023,52527,Pending,Food open off leader early.,,POL59492840
CLM79556342,21-06-2023,38200,Approved,Defense same little.,01-08-2023,POL28972573
CLM03896789,24-10-2023,2650,Approved,Receive week wonder sure remember move personal.,31-12-2023,POL52513124
CLM08781892,15-08-2022,28863,Approved,Cause number fill manage nearly bill during.,,POL73952203
CLM04467612,24-07-2022,45246,Approved,Half two one with.,24-09-2022,POL21535465
CLM36598504,23-01-2024,68313,Denied,Recently nation space participant star religious return baby.,06-02-2024,POL66183736
CLM81172238,19-12-2020,92514,Pending,Really modern crime building least.,01-01-2021,POL40589612
CLM45229692,21-06-2023,35900,Approved,From dark add near.,12-07-2023,POL22240017
CLM72320154,22-03-2021,9367,Denied,Side start look avoid month little.,,POL45440962
CLM53559340,19-03-2021,13087,Approved,Page other necessary interview be.,,POL12315723
CLM11227242,08-06-2023,77868,Denied,Her late approach never.,07-08-2023,POL07501738
CLM92000440,12-04-2020,73993,Pending,Strong including agent especially.,02-07-2020,POL56896530
CLM14179031,06-06-2023,24121,Approved,Ready view ever win often exactly.,05-08-2023,POL71161359
CLM91626670,22-01-2020,93566,Approved,Once fish adult then call.,06-03-2020,POL61367355
CLM03392061,23-02-2021,34191,Pending,Third two single list follow.,,POL70933310
CLM48859408,28-12-2020,6786,Approved,Deep tree arrive blue one herself six.,20-02-2021,POL32900389
CLM93694398,30-05-2020,57557,Approved,One morning room statement season.,29-07-2020,POL91660793
CLM06055217,12-11-2024,21471,Pending,Those want PM heart assume.,30-01-2025,POL65862653
CLM82195046,09-11-2024,63934,Pending,Mention hear piece worker deep.,04-12-2024,POL67872849
CLM90159349,05-05-2022,56083,Approved,People company thought able rich certainly.,28-06-2022,POL27219888
CLM30204139,09-04-2023,19038,Pending,Purpose walk member around child system.,12-05-2023,POL43112527
CLM01905743,16-08-2023,11069,Denied,Together dog man general.,,POL61326572
CLM37903260,12-10-2021,13072,Denied,Situation according adult owner.,08-01-2022,POL86063737
CLM82249469,09-06-2021,79591,Denied,Body attack improve note heart western.,24-07-2021,POL37985546
CLM27341335,01-11-2021,30681,Approved,Win sing only media impact car.,21-01-2022,POL20995178
CLM09810485,16-01-2023,74332,Approved,Teacher trouble scientist form whole find.,,POL07837542
CLM22613908,21-09-2021,17380,Denied,Challenge her live full fly available sit.,20-10-2021,POL86285298
CLM68878012,09-10-2020,1393,Approved,Stay painting economic course source.,30-10-2020,POL17396373
CLM54306007,30-11-2024,58167,Denied,Establish color agree floor interview from.,,POL40611534
CLM81789009,21-05-2020,41683,Approved,Likely television consumer two good step.,01-08-2020,POL77104949
CLM08365170,15-10-2024,25683,Denied,Character international data change find.,10-12-2024,POL39100560
CLM87225208,04-11-2024,21877,Pending,Really pick forward sit role interest everyone score.,31-12-2024,POL29305592
CLM65090828,21-02-2023,91713,Pending,Expert whole try performance.,20-03-2023,POL46460942
CLM53962419,06-02-2022,15646,Denied,Best blood gas evening item add alone.,,POL67696228
CLM37200890,29-06-2021,93642,Pending,Much black test again travel pass.,24-07-2021,POL92010970
CLM82823276,14-02-2024,18723,Approved,Lot audience writer section class trial kitchen.,12-05-2024,POL33725370
CLM26013917,05-12-2022,41484,Denied,Popular far car clear front activity.,,POL32198260
CLM87454106,20-10-2022,58527,Pending,Against prepare economy focus society.,03-11-2022,POL34664875
CLM51534455,31-01-2020,82562,Denied,Issue weight particular.,,POL69162371
CLM83955122,29-09-2020,51654,Pending,Too attention energy win.,21-12-2020,POL47639612
CLM63313699,12-05-2022,86724,Denied,Boy agree little occur wide mention fish.,,POL32483993
CLM97330182,20-06-2021,60800,Denied,Congress left management myself film newspaper.,30-07-2021,POL96919228
CLM49632388,11-10-2024,62612,Approved,Of notice huge character general common.,,POL84360532
CLM87562341,23-08-2020,86070,Denied,Run church environment huge.,04-10-2020,POL66521872
CLM38238490,24-06-2023,74380,Denied,Specific mission cold dinner social.,03-08-2023,POL77820339
CLM11276494,14-02-2023,63639,Approved,Suffer realize cost course see foreign parent cell.,15-04-2023,POL99222365
CLM81357184,03-03-2020,20267,Denied,Stop seem professional win.,,POL42903965
CLM52464418,09-12-2022,19546,Approved,Sing remember far provide best manage PM finally.,14-02-2023,POL32514074
CLM04892755,23-04-2024,20628,Denied,His child take.,,POL64900151
CLM99238019,18-08-2020,41117,Pending,Chance letter full attention represent.,,POL52977927
CLM07715910,01-12-2021,3976,Approved,Mr expect environmental to ahead them respond information.,,POL80084188
CLM85063315,06-12-2024,34324,Denied,Information feeling attorney station cause there.,11-01-2025,POL95137552
CLM96519689,11-02-2024,81133,Approved,Bar hard color property nation then.,28-02-2024,POL23949239
CLM18693567,19-07-2023,80315,Approved,Win call explain hotel mention charge bank.,23-08-2023,POL92505335
CLM75763057,15-03-2020,78281,Approved,You field world rich foot.,22-04-2020,POL20321964
CLM25476445,02-11-2021,41672,Pending,Similar finish computer conference foot.,25-12-2021,POL04896223
CLM77223798,27-10-2020,23195,Approved,Couple carry who interview special would can.,03-01-2021,POL19823419
CLM27516961,26-11-2021,33717,Pending,Rock best road relate western together test.,,POL11162574
CLM88260426,17-08-2020,68780,Approved,Sea good raise certain design eight.,,POL85357404
CLM60683750,12-03-2022,88475,Approved,Give certainly seat out hundred fast nature.,10-06-2022,POL33693707
CLM95431426,08-12-2021,10590,Denied,Piece event hope teach skill almost rock.,,POL93217359
CLM47775308,19-03-2022,11944,Denied,On yeah movie myself eat yard.,14-06-2022,POL62321649
CLM52914732,01-04-2024,68723,Denied,Care national ok store.,,POL08758463
CLM18271176,16-05-2024,32899,Approved,Brother any off reflect thing decision.,14-07-2024,POL45200895
CLM32363978,06-05-2021,60480,Approved,Later culture open task side who Congress election.,,POL96658719
CLM49109163,13-04-2022,91023,Denied,Theory drug according else.,,POL51395072
CLM22616425,09-08-2021,25909,Denied,Even collection whose rise.,21-10-2021,POL81196491
CLM53182116,21-06-2021,33629,Denied,Produce often talk administration responsibility.,05-08-2021,POL80647168
CLM66315774,02-09-2021,88917,Approved,Minute trial cause Mrs.,,POL34332950
CLM40098278,07-11-2024,16910,Approved,Southern language hold middle take individual that.,28-12-2024,POL19560921
CLM31162049,19-02-2024,36365,Approved,Beyond professor through continue.,05-04-2024,POL16711858
CLM27880592,01-05-2021,87704,Denied,Alone trade toward.,07-06-2021,POL41128359
CLM08739002,05-05-2023,49785,Denied,Thousand couple edge.,,POL22496499
CLM10028336,04-10-2022,43865,Denied,Civil she over while dream law.,28-10-2022,POL40501212
CLM98825360,07-09-2021,47014,Denied,Figure source not piece alone wish low.,,POL19547339
CLM92537697,22-03-2023,15537,Approved,Reflect prevent soon should base professional continue dog.,,POL67932010
CLM74056631,17-04-2022,30133,Pending,Magazine near piece lose experience.,16-05-2022,POL38710685
CLM10892672,15-06-2020,63875,Pending,Since through write set enter left address low.,27-08-2020,POL73709176
CLM30440408,21-03-2023,93289,Approved,Positive rather population fish.,,POL65310322
CLM26605878,14-04-2024,96777,Pending,Chair matter unit own grow against.,,POL66542527
CLM10407501,17-10-2024,46217,Approved,Skin draw herself evidence dog table politics.,,POL18799743
CLM50567782,25-02-2023,15664,Pending,Challenge real future establish suggest same tell.,22-05-2023,POL60803243
CLM29948493,21-01-2021,46019,Denied,Customer else foreign hour single.,,POL35831200
CLM12178841,19-08-2023,35188,Approved,Last wonder marriage follow over.,30-08-2023,POL74568057
CLM57253789,18-09-2023,68880,Pending,Establish experience successful there.,,POL29859333
CLM99079161,10-12-2024,52934,Denied,Arrive speak garden manage.,,POL20890423
CLM35443710,05-10-2020,72636,Pending,Wonder similar window continue.,04-12-2020,POL02394133
CLM81665774,27-09-2020,34231,Denied,Large fish age second any buy.,,POL28148630
CLM67694111,18-08-2023,77919,Approved,Threat others water process go.,,POL62087073
CLM26301752,27-08-2021,65356,Approved,Lead place study agency arm.,,POL75285626
CLM88625196,12-05-2020,93870,Denied,Performance particularly difficult happy base social.,14-06-2020,POL77789737
CLM29129239,21-09-2022,33979,Approved,Create society several family.,13-11-2022,POL49795535
CLM77926992,13-11-2022,12823,Approved,Painting future argue deep around truth moment much.,22-01-2023,POL79914241
CLM00786936,22-07-2023,10696,Denied,Everybody career remember capital.,21-08-2023,POL26187162
CLM04147631,16-11-2023,49543,Denied,Already never item.,09-12-2023,POL04817251
CLM14137297,20-02-2022,34163,Pending,Too expect piece but life system.,25-03-2022,POL07640768
CLM31057531,12-02-2020,59375,Pending,Mrs heart great season car receive.,,POL82098917
CLM23809539,17-07-2020,65685,Denied,Nice visit glass try.,,POL75780288
CLM30576253,18-04-2020,35055,Pending,Trouble under until democratic film.,24-05-2020,POL63437599
CLM94642888,30-08-2020,6682,Pending,Health share Mr full party.,,POL06037561
CLM19945282,28-03-2020,79452,Pending,Box assume law concern.,,POL09568484
CLM29182583,16-08-2021,80038,Denied,Either house such PM card.,,POL68324145
CLM05879384,29-07-2021,55422,Pending,Level how agree get tree sing trade others.,03-10-2021,POL81359394
CLM75943169,29-01-2020,13818,Pending,Prevent camera wear of drug recognize.,04-03-2020,POL49882725
CLM92940878,12-10-2020,5232,Denied,Probably available scene wife.,,POL96802208
CLM58626233,30-07-2020,62539,Pending,Prepare bank north red care different.,07-10-2020,POL88923538
CLM35401488,13-08-2023,11068,Pending,Trial result today science.,,POL51999477
CLM96278610,22-03-2021,45450,Pending,Everything everybody particularly political executive case hit.,,POL41162519
CLM43888646,30-05-2022,93294,Approved,Help and and show.,10-08-2022,POL51366884
CLM74338504,18-03-2024,29204,Pending,Spend serve key artist southern above maybe.,03-05-2024,POL27425814
CLM84341760,05-01-2023,84688,Denied,Course only central truth.,10-03-2023,POL10824295
CLM98482647,01-01-2020,47856,Approved,Clearly method hit most before blue toward.,,POL73247469
CLM88916505,04-07-2020,96521,Denied,Hotel into read star.,,POL45656881
CLM16622723,12-07-2020,38446,Pending,Alone maintain exist power agent enjoy activity thousand.,27-08-2020,POL72122375
CLM74810040,20-08-2021,32073,Denied,Realize later concern crime tell green able.,,POL34336501
CLM38365707,23-06-2023,84891,Approved,Young rise leave foreign special.,13-07-2023,POL48239604
CLM71003253,12-01-2024,50926,Pending,Central argue rule response hospital likely gun.,,POL94726413
CLM91929596,25-06-2020,61415,Pending,Situation option bar sing drive meeting likely.,30-07-2020,POL47066048
CLM49735464,01-11-2024,26888,Approved,Check notice address us language stay.,13-01-2025,POL15165645
CLM20208977,04-12-2023,48857,Pending,Budget write could value have store every western.,08-01-2024,POL51933372
CLM14772569,06-10-2022,74769,Denied,Science customer raise hospital size help.,04-12-2022,POL81927332
CLM37055079,01-09-2020,96964,Pending,Water she big mother dream far how ten.,,POL11303623
CLM63421031,31-12-2022,83729,Approved,Find evidence more smile its how.,11-01-2023,POL38988950
CLM43054541,29-12-2021,87110,Denied,Page marriage authority huge various walk say surface.,28-03-2022,POL87949298
CLM49922187,24-06-2022,98603,Pending,Effect half talk piece support never.,01-09-2022,POL86285298
CLM94212055,31-07-2021,73315,Approved,Only again music during.,,POL64169471
CLM15108906,28-01-2021,86317,Denied,Growth your value house main.,,POL41761083
CLM09677738,01-04-2022,79775,Approved,Too message minute network.,,POL47605263
CLM36270209,12-08-2023,74640,Denied,Including organization up carry.,12-10-2023,POL19547339
CLM63183378,01-02-2021,98250,Pending,Career imagine apply we family.,07-03-2021,POL50049784
CLM18654250,01-11-2021,54140,Pending,Whole media since agency officer large position.,20-12-2021,POL91241306
CLM48566397,26-02-2024,83951,Denied,Foreign color away state serious.,07-04-2024,POL38045222
CLM78047351,16-03-2020,23441,Pending,Wrong alone current particularly return blue task resource.,30-03-2020,POL49030532
CLM31089109,23-08-2024,53008,Pending,Surface crime officer heart try American team.,21-11-2024,POL88449964
CLM89401649,26-01-2021,49065,Denied,Summer always nation.,22-03-2021,POL73218489
CLM44595411,11-02-2024,92090,Denied,Place along shoulder service determine hand particularly.,01-04-2024,POL52778521
CLM99327506,27-11-2024,74210,Approved,Stock age score agency.,20-12-2024,POL64494784
CLM41914779,21-01-2022,90113,Denied,Both could cell step likely also.,06-03-2022,POL60442059
CLM64145456,02-01-2022,92268,Denied,Where challenge view over list important history.,26-03-2022,POL04272099
CLM89693804,03-11-2024,11629,Approved,Enjoy argue look my.,13-12-2024,POL39946670
CLM08968932,02-05-2021,17123,Denied,Sign newspaper itself by pressure write computer.,16-06-2021,POL79130344
CLM61261323,25-04-2022,31678,Denied,Attorney seek strong vote.,15-06-2022,POL99602250
CLM61128058,24-01-2023,61812,Denied,Which develop lay real standard sing president.,15-02-2023,POL02303520
CLM51726152,23-12-2020,56661,Pending,Ten left side member second crime Democrat southern.,08-02-2021,POL87573741
CLM10115959,11-02-2020,34173,Pending,Training might behind single capital central wonder official.,29-02-2020,POL89482669
CLM28697442,26-12-2019,25630,Approved,Machine trouble people.,,POL63887686
CLM26124703,09-04-2022,74988,Pending,Cell reveal church direction several budget.,10-06-2022,POL40235413
CLM12431744,23-09-2020,18315,Pending,Serve language start ability door order build.,17-11-2020,POL94744561
CLM30642848,28-10-2024,98629,Denied,International cause growth cause bank.,18-12-2024,POL83964879
CLM18504460,02-12-2020,82957,Denied,Necessary rise everything.,22-01-2021,POL96627466
CLM60564493,13-01-2024,95552,Approved,Citizen light to close participant campaign turn.,,POL68469433
CLM98190112,08-06-2020,14225,Denied,Take arrive more have response early ago.,,POL13287986
CLM70179165,11-12-2022,31263,Pending,Kitchen page star none page trade recent.,05-02-2023,POL52933183
CLM56418751,23-03-2022,64027,Pending,Itself relationship chance cause consider check customer television.,11-04-2022,POL00522342
CLM76727029,31-10-2020,20739,Pending,Teach how action parent must feeling.,26-01-2021,POL74138353
CLM44819525,26-03-2021,31578,Approved,Board soon eat system have TV mother.,05-06-2021,POL38116452
CLM09602602,24-11-2024,35509,Approved,Issue area class wait contain college land truth.,22-12-2024,POL40650840
CLM72762178,20-06-2024,50343,Approved,Government whatever cold.,07-08-2024,POL93099683
CLM86741739,08-11-2021,49265,Denied,Identify charge operation responsibility military.,,POL43343233
CLM74916271,01-07-2020,82143,Denied,Expert plant shoulder rock news top.,06-08-2020,POL59899170
CLM46687777,28-01-2023,8238,Pending,Allow weight customer memory exactly.,24-04-2023,POL55583522
CLM64174646,12-03-2020,13574,Pending,Leader whatever report let region cost.,,POL75098865
CLM60099452,01-03-2024,24198,Denied,Represent interview us go.,01-04-2024,POL45114954
CLM24833636,18-03-2024,39072,Pending,Employee shake defense end build effect address national.,08-04-2024,POL95213167
CLM34087445,23-01-2022,2052,Pending,Rise trade fish recognize east close.,21-03-2022,POL83585187
CLM21161047,10-08-2023,41205,Approved,Happy language edge high morning look market understand.,25-09-2023,POL90115447
CLM07703633,28-12-2023,44876,Approved,Edge and everything.,13-01-2024,POL89664710
CLM70627461,10-01-2022,38085,Pending,Simple six easy and pull.,22-01-2022,POL63810929
CLM47183530,14-09-2020,79337,Approved,After east north different hit four.,30-10-2020,POL55128968
CLM03565688,15-03-2021,72682,Pending,Political green wrong interesting by condition assume.,,POL80888212
CLM88651406,22-11-2021,44479,Denied,Listen seat sell go author.,29-12-2021,POL36630030
CLM37034870,26-01-2020,60610,Pending,Drug end player step approach best.,,POL36273981
CLM89955770,09-05-2020,40070,Denied,Anyone keep visit majority quickly.,08-06-2020,POL71516749
CLM24497536,10-10-2023,34582,Approved,Series other relate a.,01-11-2023,POL84868487
CLM76767404,29-01-2021,73124,Pending,Section better call investment year explain lay.,31-03-2021,POL54898212
CLM71015091,06-05-2020,87744,Approved,Should different today employee.,06-06-2020,POL79057725
CLM17667604,29-06-2021,91733,Approved,General social factor morning check no personal.,27-07-2021,POL90883106
CLM52588369,07-04-2024,23759,Approved,End bring start people.,01-07-2024,POL55589679
CLM36041290,19-03-2024,14076,Pending,Boy marriage time appear.,28-04-2024,POL23939811
CLM65338936,11-01-2020,45957,Approved,Particular attention rise company hotel citizen.,,POL95370014
CLM40496874,05-04-2021,45672,Denied,Simple box he capital.,06-06-2021,POL86890782
CLM33792393,07-09-2020,52101,Approved,Most party answer machine artist sit today.,,POL89399063
CLM21000281,22-10-2020,24745,Pending,Better well force free management every grow.,26-11-2020,POL10731593
CLM18692207,21-01-2020,63714,Pending,How woman against than final.,31-01-2020,POL18009742
CLM73750447,30-04-2024,70317,Approved,Want east news third radio.,24-07-2024,POL62155198
CLM26923610,23-04-2023,46405,Approved,Receive list away become front weight add.,06-06-2023,POL48112744
CLM09903413,14-11-2020,81091,Approved,Effect water nor whatever image foreign.,06-02-2021,POL25517652
CLM73820508,06-04-2024,1885,Pending,Gas not people else apply.,,POL91232159
CLM52714406,23-11-2023,52277,Denied,Leader around our audience science.,28-12-2023,POL04896223
CLM44020103,28-04-2020,73298,Approved,News whose nor day military cold.,,POL41122818
